mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.05274944305419922,0.021823356465182027,0.00277252197265625,0.005057351479475283,0.01,3,100,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",-5174.053002581405,-3047.1335565862955,-4388.0953091565,-2403.297927181712,-5507.963118962974,-4104.108582893778,1200.515736937886,25
0.09078397750854492,0.04337162789151001,0.0,0.0,0.01,3,200,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",-2597.2392702921316,-1671.341322575716,-2147.700305412169,-1732.2173640976214,-3776.893384928309,-2385.0783294611892,771.2532262277952,24
0.11251769065856934,0.025310014811302715,0.0028885841369628907,0.004501058391199164,0.01,3,300,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300}",-1864.2867246090798,-1548.2375559802877,-1668.5564698633414,-2243.1029468330394,-2927.9204161843973,-2050.420822694029,497.95306151051324,8
0.10798912048339844,0.018539363275346738,0.00034575462341308595,0.0006915092468261719,0.01,4,100,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",-5242.03553218845,-3202.9046770363902,-4354.406425953559,-2466.5179938272795,-5454.028488861225,-4143.978623573381,1154.6197487754507,26
0.024581766128540038,0.0061692577154231956,0.0,0.0,0.01,4,200,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 200}",-2401.1072504253775,-1617.7383715864473,-2153.2884884207187,-1928.4764704794177,-3482.7474611337275,-2316.6716084091377,637.6142172967823,22
0.036864709854125974,0.006947360713464425,0.0029780387878417967,0.004007861086080762,0.01,4,300,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}",-1514.238540442286,-1628.9121773801946,-1688.4707136378604,-2332.5166591389975,-2721.564628551633,-1977.1405438301947,468.8989085185788,5
0.016472911834716795,0.0014438361564787178,0.0004002094268798828,0.0004901544952403919,0.01,5,100,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",-5135.238297146634,-3180.650501262073,-4442.438912699404,-2681.301184554311,-5316.010034854382,-4151.127786103361,1050.0002593231957,27
0.03822436332702637,0.0071159826157342326,0.002446746826171875,0.003970154433639306,0.01,5,200,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",-2076.339906177888,-1707.4702977728828,-2002.9171716645967,-2378.1047253813495,-3202.1428427381807,-2273.39498874698,511.0374577647689,19
0.054544925689697266,0.004570254895703933,0.0030511856079101563,0.0025963084357727047,0.01,5,300,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300}",-1139.0048202595613,-1654.5447368156974,-1496.8973228510004,-3106.174099977685,-2401.5771818839257,-1959.639632357574,705.7626964132653,4
0.019013071060180665,0.0068017121922093506,0.0004010200500488281,0.0008020401000976562,0.05,3,100,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",-1007.9891971223482,-1739.6127216488264,-1589.3724195369336,-2750.412984141756,-2354.6930087277788,-1888.4160662355287,607.8114647532041,1
0.02743215560913086,0.006478397089627422,0.0006760597229003906,0.0005683727429830181,0.05,3,200,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",-754.3913585900192,-1922.2487328733196,-1558.458043738815,-3906.1744758480877,-1995.6422357990043,-2027.3829693698492,1037.5274872175667,6
0.03621482849121094,0.0061033004335377,0.00040111541748046877,0.0004912673827883574,0.05,3,300,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300}",-844.8714945197697,-1967.176185960355,-1528.9859165081011,-4236.5741316419035,-1779.687700522284,-2071.4590858304828,1147.3903332938678,9
0.010904979705810548,0.004071734907247395,0.0024491310119628905,0.004898262023925781,0.05,4,100,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100}",-857.7499753959761,-1900.2118422551505,-1432.9067082705037,-3410.977964570675,-1990.8035306669974,-1918.5300042318606,847.8259476046359,2
0.02167506217956543,0.005610106115585326,0.002602243423461914,0.005204486846923828,0.05,4,200,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200}",-913.2814545817167,-1973.4791620021747,-1489.887431085163,-4272.917109346169,-1733.6739859021923,-2076.647828583483,1153.2200716584832,11
0.042263460159301755,0.007765609186642838,0.00042214393615722654,0.0005182161196731228,0.05,4,300,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300}",-1004.4229263117405,-1986.4780972839494,-1563.7028447516368,-4608.9049939873585,-1694.9909364304394,-2171.6999597530253,1259.6605236967905,13
0.019559574127197266,0.004955773818803261,0.003908109664916992,0.005106862693772238,0.05,5,100,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",-858.1922511082223,-1883.9401903188807,-1534.922205085512,-4147.87075294619,-1785.04956903339,-2041.994993698439,1112.1354892126005,7
0.03680992126464844,0.005920528939972093,0.00039992332458496096,0.0004898040465379741,0.05,5,200,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",-1025.0776157933312,-1956.6898902814694,-1578.924156804349,-4738.943453922037,-1634.7343105983682,-2186.8738854799108,1310.7459943725642,14
0.047764825820922854,0.005850927490849553,0.0004008293151855469,0.0008016586303710938,0.05,5,300,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300}",-1092.6859829987768,-2015.15019103663,-1648.9708834697274,-4927.202665340401,-1678.5431315826313,-2272.510570885633,1359.941881140069,18
0.015978050231933594,0.0007730137667602481,0.0008886337280273437,0.0007730137667602481,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",-758.3169178390475,-1928.1825972216448,-1552.3851744820688,-3403.367244813996,-2024.367206247202,-1933.3238281207919,859.6625469292925,3
0.02164459228515625,0.004624983431150203,0.00019974708557128905,0.0003994941711425781,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",-907.1983596835837,-1919.1352399791813,-1542.0669237981936,-4419.8123987589115,-1720.0945823171567,-2101.6615009074058,1207.6937543080164,12
0.033376216888427734,0.0,0.0,0.0,0.1,3,300,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300}",-1001.4011568579438,-1974.4136900075043,-1572.0806196123872,-4805.838948693369,-1663.8723193651354,-2203.5213469072683,1338.6245653919507,16
0.0178558349609375,0.0015569686889648439,0.0019880294799804687,0.0039760589599609365,0.1,4,100,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",-891.0569202561038,-1956.9207881876955,-1490.3594278908618,-4325.579534974516,-1702.3806958814864,-2073.2594734381323,1179.9497240794701,10
0.030096769332885742,0.0,0.0,0.0,0.1,4,200,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200}",-1050.4469237209566,-2015.67260455083,-1623.300280825602,-4792.188875123861,-1694.389681553744,-2235.199673154999,1315.8207555344045,17
0.043715381622314455,0.004290155715413383,0.0026410102844238283,0.004336852370375609,0.1,4,300,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",-1106.242685391651,-2089.1674154539005,-1684.166515671476,-4984.690538321088,-1702.5881764218211,-2313.371066251987,1372.0297396008395,20
0.01571512222290039,0.0007205009460449219,0.00020084381103515624,0.0004016876220703125,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",-1018.9652305751478,-1962.7733462753747,-1562.8751735244775,-4754.959596781263,-1655.2240704272838,-2190.9594835167095,1317.6675116488475,15
0.03189640045166016,0.008462357948506673,0.00020084381103515624,0.0004016876220703125,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",-1107.5899557314012,-2068.668319465319,-1669.6194903347364,-5023.315748483684,-1706.4141712273502,-2315.121537048498,1388.552134037674,21
0.0332341194152832,0.0,0.0,0.0,0.1,5,300,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300}",-1138.274299373906,-2126.522969578079,-1723.59360759516,-5081.223202654862,-1701.5403489216594,-2354.2308856247328,1399.3281763018083,23
